CheeseId,CheeseName,ManufacturerName,ManufacturerProvCode,ManufacturingType,WebSite,FatContentPercent,MoisturePercent,Particularities,Flavour,Characteristics,Ripening,Organic,CategoryType,MilkType,MilkTreatmentType,RindType,LastUpdateDate
1114,White Grace,Moonstruck Organic Cheese,BC,Farmstead,http://www.moonstruckcheese.com,34.00,27.00,N/A,Will sweeten on the palate,N/A,N/A,true,Hard Cheese,Cow,Raw Milk,N/A,2016-02-03
1115,Baby Blue,Moonstruck Organic Cheese,BC,Farmstead,http://www.moonstruckcheese.com,28.00,40.30,N/A,Sweet buttery blue,Fresh blue cheese,N/A,true,Veined Cheeses,Cow,Pasteurized,N/A,2016-02-03
1116,Ash-Ripened Camembert,Moonstruck Organic Cheese,BC,Farmstead,http://www.moonstruckcheese.com,28.00,40.30,N/A,N/A,N/A,N/A,true,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
1117,Chèvre Cheeses (Salt Spring Island),Salt Spring Island Cheese Company,BC,Artisan,http://www.saltspringcheese.com,0.00,0.00,N/A,"Plain, Basil, Chili, Garlic, Lemon, Pepper, Sun Dried Tomato, and White Truffle",N/A,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
1118,Feta (Salt Spring Island),Salt Spring Island Cheese Company,BC,Artisan,http://www.saltspringcheese.com,0.00,0.00,N/A,Plain (olives and rosemary) & a spicy chili feta.,N/A,N/A,false,Fresh Cheese,Goat,Pasteurized,N/A,2016-02-03
1119,Montaña,Salt Spring Island Cheese Company,BC,Artisan,http://www.saltspringcheese.com,0.00,0.00,N/A,Milder and sweeter,N/A,N/A,false,Hard Cheese,Ewe and Goat,Pasteurized,N/A,2016-02-03
1120,Juliette,Salt Spring Island Cheese Company,BC,Artisan,http://www.saltspringcheese.com,0.00,0.00,N/A,Mild and creamy (rosemary),Camembert,N/A,false,Soft Cheese,Ewe and Goat,Pasteurized,N/A,2016-02-03
1122,Tomme d'Or (Moonstruck Organic),Moonstruck Organic Cheese,BC,Farmstead,http://www.moonstruckcheese.com,29.00,30.00,N/A,"Buttery, nutty flavour",N/A,N/A,false,Hard Cheese,Cow,Raw Milk,N/A,2016-02-03
1123,Cheddar (Jensen Cheese),Jensen Cheese,ON,Industrial,http://www.jensencheese.ca,0.00,0.00,N/A,"Mild, Medium, Old, etc…",N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1124,Colby (Jensen Cheese),Jensen Cheese,ON,Industrial,http://www.jensencheese.ca,0.00,0.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1125,Mozzarella (Jensen Cheese),Jensen Cheese,ON,Industrial,http://www.jensencheese.ca,0.00,0.00,N/A,N/A,N/A,N/A,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
1126,Monterey Jack (Jensen Cheese),Jensen Cheese,ON,Industrial,http://www.jensencheese.ca,0.00,0.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1127,Brick (Jensen Cheese),Jensen Cheese,ON,Industrial,http://www.jensencheese.ca,0.00,0.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1128,Farmers (Bothwell),Bothwell Cheese,MB,Farmstead,http://www.bothwellcheese.com,29.00,42.00,N/A,N/A,N/A,Less than 1 Month,false,Semi-soft Cheese,Cow,Pasteurized,No Rind,2016-02-03
1129,Tomme du Kamouraska (La),Fromagerie Le Mouton Blanc,QC,Farmstead,N/A,30.00,43.00,Ripened in underground caves. Caseus 2006 : public's prize,N/A,N/A,4 Months,false,Semi-soft Cheese,Ewe,Raw Milk,Washed Rind,2016-02-03
1130,Albani (L'),Fromagerie La Normandinoise,QC,Farmstead,N/A,30.00,45.00,N/A,Mild and lactic flavor with a touch of hazelnut.,"Smooth, firm, shiny and creamy texture. Cream-colored.",3 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1131,Chant du Coq (Le),Fromagerie La Normandinoise,QC,Farmstead,N/A,23.00,45.00,Bears a layer of ash in its center,Lactic and fruity,Orange-colored washed rind sprinkled with white mold. Pressed and uncooked yellowy-creamy colored cheese. Smooth and supple texture. Shows small holes.,2 Months,false,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
1132,François Paradis (Le),Fromagerie La Normandinoise,QC,Farmstead,N/A,31.00,52.00,N/A,"Flavors of cream, mushrooms and nuts",Creamy to ivory-colored. Smooth and runny texture.,2 Months,false,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
1133,Maria Chapdelaine (Le),Fromagerie La Normandinoise,QC,Farmstead,N/A,31.00,52.00,Egg-shaped,"Cream, mushroom and almond aroma",White and velvety rind. White to creamy-colored interior. Smooth and runny texture.,Less than 1 Month,false,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
1134,Normandises (Les),Fromagerie La Normandinoise,QC,Farmstead,N/A,30.00,45.00,N/A,"Mild and lactic. Avalaible seasoned with garlic flower, dried tomatoes and basil, italian and provençal herbs","Creamy colored cheddar with a firm, smooth and shiny texture",Less than 1 Month,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1136,Péribonka (Le),Fromagerie La Normandinoise,QC,Farmstead,N/A,31.00,52.00,N/A,N/A,N/A,Less than 1 Month,false,Soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
1137,14 Arpents (Le),Fromagerie Médard,QC,Artisan,N/A,27.00,50.00,N/A,Hazelnut flavor,"Creamy texture, orange rind",1 Month,false,Soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
1138,Gédéon (Le),Fromagerie Médard,QC,Artisan,N/A,36.00,34.00,N/A,Fruity,"Cheddar aged under vacuum, unctuous texture",18 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1139,Rang des Îles (Le),Fromagerie Médard,QC,Artisan,N/A,27.00,50.00,N/A,"Mild, slightly sweet",Mixt shiny rind,1 Month,false,Soft Cheese,Cow,Pasteurized,N/A,2016-02-03
1140,Petits Vieux (Les),Fromagerie Médard,QC,Artisan,N/A,36.00,34.00,N/A,Woody,Aged cheddar,1 Year,false,Firm Cheese,Cow,Raw Milk,N/A,2016-02-03
1141,Couventine (Le),Fromagerie Médard,QC,Artisan,N/A,9.00,83.00,N/A,N/A,Fresh creamy cheese,N/A,false,Fresh Cheese,Cow,Pasteurized,N/A,2016-02-03
1142,Médard (Le),Fromagerie Médard,QC,Artisan,N/A,31.00,39.00,N/A,Mild,"Cheddar, curds or blocks",Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1143,Brise des Vignerons (La),Fromagerie des Cantons,QC,Artisan,N/A,25.00,52.00,N/A,Mushroomy and buttery,Sometimes a chalky center,N/A,false,Soft Cheese,Cow,Raw Milk,Bloomy Rind,2016-02-03
1144,Zéphyr (Le),Fromagerie des Cantons,QC,Artisan,N/A,35.00,35.00,Macerates in red wine and has a layer of ashes in its center,Fruity and hazelnutty,Light yellow rind,N/A,false,Firm Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1145,Cheddar frais (Fromagerie du Coin),Fromagerie du Coin,ON,Artisan,N/A,0.00,0.00,Sold at the cheese dairy only,N/A,"Fresh Cheddar, curds or blocks",Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1149,Cheddar Beauceron,Fromagerie Gilbert,QC,Artisan,http://www.fromageriegilbert.net,31.00,39.00,N/A,"Hazelnut flavor. Available; mild, medium, strong and extra strong",Creamy-colored,18 Months,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1150,Cheddar léger 6% (Fromagerie Gilbert),Fromagerie Gilbert,QC,Artisan,http://www.fromageriegilbert.net,6.00,51.70,Light cheese,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1151,Cheddar léger 12% (Fromagerie Gilbert),Fromagerie Gilbert,QC,Artisan,http://www.fromageriegilbert.net,12.00,47.90,Light cheese,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1152,Torti-Beauceron,Fromagerie Gilbert,QC,Artisan,http://www.fromageriegilbert.net,41.00,31.00,N/A,N/A,Preserved in brine,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1153,Cheddar Le Bourgadet doux,Fromagerie La Bourgade,QC,Artisan,N/A,27.00,42.00,"Also available seasoned with garlic and herbs, sun dried tomato and pesto, 3 peppers or chili",Hazelnut flavor that intensifies with age,Cream-colored cheese,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1156,Rivière blanche,Fromagerie La Bourgade,QC,Artisan,N/A,27.00,42.00,N/A,"Hazelnut flavor. Available aged 2 months, 6 months or 2 years",Cheddar-type.  Cream-colored,2 Years,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1157,Twist arménien,Fromagerie La Bourgade,QC,Artisan,N/A,27.00,42.00,Preserved in brine,Salty,Stretched and twisted cheese,3 Months,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1164,Cheddar (Fromagerie Port-Joli),Fromagerie Port-Joli,QC,Artisan,N/A,31.00,39.00,N/A,N/A,"Daily fresh, cheese curds or blocks",Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1168,Cheddar Bio d'Antan,Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,31.00,39.00,Organic,"Hazelnut flavor that intensifies with age. Available; mild, medium, strong and extra strong",Creamy-colored giving off a buttery aroma,18 Months,true,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1169,Suisse Bio d'Antan,Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,0.00,0.00,Organic,N/A,N/A,N/A,true,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1170,Mozzarella (La Chaudière),Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,0.00,0.00,Organic,N/A,Stretched cheese,N/A,true,Semi-soft Cheese,Cow,Pasteurized,No Rind,2016-02-03
1171,Cheddar La Chaudière,Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,31.00,39.00,Organic,N/A,Fresh cheese curds or blocks,Unripened,true,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1172,Gouda La Chaudière,Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,0.00,0.00,Organic,N/A,N/A,N/A,true,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1173,Tortillons La Chaudière,Fromages La Chaudière,QC,Artisan,http://www.fromageslachaudiere.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1174,Blackburn (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,31.00,39.00,N/A,Fruit and hazelnut flavors,Pressed and not cooked  cheese,1 Year,false,Firm Cheese,Cow,Raw Milk,Brushed Rind,2016-02-03
1175,Cabouron (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,28.00,46.00,N/A,"Mild, milky flavor","Not cooked cheese, interior-ripened",1 Month,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
1176,Cheddar Blackburn (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,31.00,39.00,N/A,Slight buttery and nutty taste,Pressed and uncooked cheese,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1177,Mont-Jacob (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,28.00,46.00,Winner at the 2011 Canadian Cheese Grand Prix            Winner of the Prix du Public in it's class for 2012,Pronounced with fruity aroma,Interior-ripened,1 Month,false,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
1178,Napoléon (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,31.00,39.00,N/A,"Mild, fruity, leaves a spicy taste in mouth",Cooked,1 Year,false,Firm Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1179,Valida Doux (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,34.00,37.00,N/A,Hazelnut flavour that intensifies with age,Aged cheddar,1 Year,false,Firm Cheese,Cow,Raw Milk,No Rind,2016-02-03
1180,Valida Moyen (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,34.00,37.00,N/A,Hazelnut flavour that intensifies with age,Aged cheddar,1 Year,false,Firm Cheese,Cow,Raw Milk,No Rind,2016-02-03
1181,Valida Fort (Le),Fromagerie Blackburn,QC,Farmstead,http://www.fromagerieblackburn.com,34.00,37.00,N/A,Hazelnut flavour that intensifies with age,Aged cheddar,1 Year,false,Firm Cheese,Cow,Raw Milk,No Rind,2016-02-03
1182,Camplain,Fromagerie F.X. Pichet,QC,Artisan,http://www.fromageriefxpichet.com/index.cfm,29.00,48.00,Organic,"Cream and salted butter taste, hints of olive",N/A,2 Months,true,Soft Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1183,Réserve La Pérade,Fromagerie F.X. Pichet,QC,Artisan,http://www.fromageriefxpichet.com/index.cfm,28.00,45.00,Organic,Clover and hay taste,Copper-colored rind,5 Months,true,Semi-soft Cheese,Cow,Raw Milk,N/A,2016-02-03
1184,Baluchon,Fromagerie F.X. Pichet,QC,Artisan,http://www.fromageriefxpichet.com/index.cfm,27.00,48.00,2009 Canadian Cheese Grand Prix Category Winner,"Fruity, yellow, with acidic accent.","Light rind, slightly sticky. Pink with orange tint.",2 Months,true,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1185,Blanche du Fjord (La),Bergeries du Fjord (Les),QC,Farmstead,N/A,33.00,45.00,N/A,"Subtle flavor of fruits, butter, nuts and chestnuts","Elastic and melting in the mouth, presence of small irregularly dispersed eyes in the cheese",3 Months,false,Soft Cheese,Ewe,Raw Milk,Bloomy Rind,2016-02-03
1186,Paillasson de l'Isle d'Orléans (Le),Fromages de l'isle d'Orléans (Les),QC,Artisan,http://www.fromagesdelile.com,28.00,40.00,1st cheese to be made in America,Slightly salted,Roasting cheese,Less than 1 Month,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
1187,Cheddar frais Morin,Ferme Morin,QC,Artisan,N/A,0.00,0.00,N/A,N/A,Cheddar cheese curds or blocks,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1188,Cheddar frais (Qualité Summum),Fromagerie Qualité Summum,QC,Industrial,http://www.fromageriequalitesummum.com,31.00,39.00,Large variety of seasonings,"Curds : salted, fine herbs, BBQ or sea salt. Blocks: garlic and pepper, yellow, chocolate Grand Marnier with pears, marble, sharp, fine herbs, pesto",Cheese curds or blocks,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1189,Cheddar (Fromagerie P'tit Plaisir),Fromagerie P'tit Plaisir,QC,Farmstead,N/A,0.00,0.00,N/A,N/A,Daily fresh cheddar,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1194,Cheddar (Fromagerie Boivin),Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,33.00,37.00,N/A,"Available; medium, strong, extra strong, in block, curds, BBQ",N/A,2 Years,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1195,Petit Saguenéen (Le),Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,15.00,47.00,N/A,N/A,N/A,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1196,Tortillons (Les) (Fromagerie Boivin),Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,34.00,36.00,Hand made,Plain or BBQ,N/A,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1197,Cheddar sans sel (Fromagerie Boivin),Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,31.00,39.00,Unsalted,N/A,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1198,Annobli,Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,24.00,50.00,N/A,"Taste of butter and cooked cheese, slightly spicy",Roasting cheese,Unripened,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
1199,Monterey Jack (Fromagerie Boivin),Fromagerie Boivin,QC,Artisan,http://www.fromagerieboivin.com,28.00,44.00,N/A,N/A,Supple white cheese,N/A,false,Semi-soft Cheese,Cow,Pasteurized,No Rind,2016-02-03
1200,Champayeur (Le),Fromagerie du Presbytère,QC,Farmstead,http://www.fromageriedupresbytere.com,24.00,53.00,N/A,"Flavors of butter, cream, hazelnut and mushroom","Chalky texture, soft cheese but not runny",Less than 1 Month,true,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
1201,Bleu d'Élizabeth (Le),Fromagerie du Presbytère,QC,Farmstead,http://www.fromageriedupresbytere.com,28.00,42.00,Winner of the gold at Caseus in 2013.  Winner at the 2011 Canadian Cheese Grand Prix,Balanced salty taste,Rind scattered with ochred spots,2 Months,true,Veined Cheeses,Cow,Raw Milk,N/A,2016-02-03
1202,Curé-Hébert (Le),Fromagerie L'Autre Versant,QC,Farmstead,N/A,32.00,35.00,N/A,Almond and hazelnutty taste,Pink-orange-colored rind,2 Months,false,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1203,Cru du Canton (Le),Fromagerie L'Autre Versant,QC,Farmstead,N/A,32.00,35.00,N/A,Almond and nutty taste,Surface-ripened,5 Months,false,Firm Cheese,Cow,Raw Milk,N/A,2016-02-03
1204,Cheddar L'Autre Versant,Fromagerie L'Autre Versant,QC,Farmstead,N/A,30.00,41.00,N/A,N/A,"Unripened, curds or blocks",Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1205,Grand 2 (Le),Fromagerie des Grondines,QC,Artisan,N/A,28.00,44.00,Organic. Made with 70% cow's raw milk and 30% goat's raw milk,Slight goaty taste counterbalanced with cow's milk taste,Firm and cooked,2 Months,true,Firm Cheese,Cow and Goat,Raw Milk,Washed Rind,2016-02-03
1206,Grondines (Les),Fromagerie des Grondines,QC,Artisan,N/A,30.00,45.00,Organic,Slightly hazelnutty,Amber-colored washed rind,2 Months,true,Firm Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
1207,Cheddar Coaticook non salé,Laiterie de Coaticook,QC,Industrial,http://www.laiteriedecoaticook.com/,27.00,42.00,Unsalted,Mild,Elastic and smooth texture,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1210,Cheddar Coaticook,Laiterie de Coaticook,QC,Industrial,http://www.laiteriedecoaticook.com/,31.00,39.00,N/A,"Pungent and lively, slightly salted.  Available white, couloured, aged, curds","Strong aroma, Smooth and supple texture",15 Months,false,Firm Cheese,Cow,Thermised,No Rind,2016-02-03
1211,Mozzarella (Coaticook),Laiterie de Coaticook,QC,Industrial,http://www.laiteriedecoaticook.com/,17.00,50.00,Made with partly skimmed milk,Slightly salted milk flavor,Compact,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1212,Saumuré Coaticook,Laiterie de Coaticook,QC,Industrial,http://www.laiteriedecoaticook.com/,21.00,45.00,N/A,Salty,"Firm texture, soaking in brine",Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1213,Capricook,Laiterie de Coaticook,QC,Industrial,http://www.laiteriedecoaticook.com/,30.00,39.00,"100% goat's milk, easily digestible",Hazelnut and salty flavour. Available mild and strong,Unripened,4 Months,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
1215,Écume des Rapides (L'),Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,18.00,63.00,N/A,N/A,Creamy spreadable cheese,N/A,false,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
1216,Doux du Fort (Le),Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,30.00,40.00,N/A,Fruity,"Firm cheese, cooked",N/A,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
1217,Pompette (Le),Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,25.00,45.00,N/A,Flavored with Michel Jodoin's apple Brandy,N/A,Unripened,false,Fresh Cheese,Goat,Pasteurized,No Rind,2016-02-03
1218,Amourettes - Tomates séchées et basilic,Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,22.00,58.00,"Kept in sunflower and olive oil seasoned with tomato, basil and black pepper",N/A,Unripened cheese,Unripened,false,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
1219,Amourettes - Fines herbes,Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,22.00,58.00,"Kept in sunflower and olive oil seasoned with thyme, origano, basil, garlic and onion",N/A,Unripened cheese,Unripened,false,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
1220,Dames de Chambly,Fromagère Etcetera,QC,Artisan,http://www.lafromagereetc.com,25.00,45.00,N/A,Fresh,Preserved in sunflower and olive oil,Unripened,false,Fresh Cheese,Goat,Pasteurized,No Rind,2016-02-03
1221,Cheddar frais (Fromagerie Victoria),Fromagerie Victoria,QC,Artisan,http://www.fromagerievictoria.com,31.00,39.00,N/A,Also seasoned with fine herbs,Cheese curds (41% humidity) or blocks,Unripened,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1222,Cheddar médium (Fromagerie Victoria),Fromagerie Victoria,QC,Artisan,http://www.fromagerievictoria.com,31.00,39.00,N/A,Available plain or with olives,N/A,3 Months,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1223,Cheddar fort (Fromagerie Victoria),Fromagerie Victoria,QC,Artisan,http://www.fromagerievictoria.com,31.00,39.00,N/A,Pronounced,N/A,6 Months,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1224,Darac,Fromagerie Victoria,QC,Artisan,http://www.fromagerievictoria.com,25.00,45.00,N/A,Salty,Twisted cheese,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
1225,Athonite,Troupeau Bénit (Le),QC,Artisan,N/A,29.00,38.00,N/A,Caprine flavor slightly acid and salty,Gouda type cheese with red waxed rind. Ivory-colored cheese with a crumbly texture.,9 Months,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
1226,Bon Berger,Troupeau Bénit (Le),QC,Artisan,N/A,33.00,33.00,N/A,Butter and almond aftertaste,Havarti type cheese covered with yellow wax. Ivory-colored cheese with small holes.,3 Months,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
1227,Féta (Troupeau Bénit),Troupeau Bénit (Le),QC,Artisan,N/A,18.00,60.00,"Made with ewe's milk, goat's milk or with a mix (ewe's and goat's)",Mild and salted with an almond and buttery aftertaste,Damp and crumbly,3 Months,false,Semi-soft Cheese,Ewe and Goat,Pasteurized,No Rind,2016-02-03
1228,Graviera,Troupeau Bénit (Le),QC,Artisan,N/A,33.00,36.00,"Made with goat's mik, ewe's milk or with a mix of milks (goat and ewe)","Mild, buttery and hazelnut flavour with a hint of fruits and salt",Gruyere type cheese. Ivory-colored cheese with small holes irregularly dispersed.,6 Months,false,Firm Cheese,Ewe and Goat,Pasteurized,N/A,2016-02-03
1229,Petites Soeurs (Les),Troupeau Bénit (Le),QC,Artisan,N/A,20.00,60.00,Preserved in grapeseed oil,"Available plain or seasoned with chives, provençal herbs, mint and peppers or onion","Creamy and white cheese, ball-shaped",Unripened,false,Fresh Cheese,Goat,Pasteurized,No Rind,2016-02-03
1231,Symandre,Troupeau Bénit (Le),QC,Artisan,N/A,33.00,33.00,N/A,"Mild, slightly salty and acid with an almond and butter aftertaste. Seasoned with pepper and onions or with garden fine herbs",Havarti-type cheese. Firm and crumbly texture. Ivory-colored. Covered with yellow wax.,3 Months,false,Firm Cheese,Goat,Pasteurized,No Rind,2016-02-03
1232,Pommé (Le),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,Contains apples,Hints of caramel,Pressed and cooked,6 Months,false,Firm Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1233,Bohême (Le),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,N/A,Buttery taste when young,Pressed and cooked cheese,6 Months,false,Firm Cheese,Ewe,Pasteurized,N/A,2016-02-03
1234,Brebichon (Le),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,Contains apple,N/A,Rind wash in apple,N/A,false,Soft Cheese,Ewe,Pasteurized,Washed Rind,2016-02-03
1235,From-Pom,Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,With apple sauce,N/A,Ready to eat Labneh-type cheese,Unripened,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1236,From-Poire,Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,With pear sauce,N/A,Ready to eat Labneh-type cheese,Unripened,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1237,Pomettes du berger (Les),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,N/A,Different flavors available,"Fresh cheese, ball-shaped, preserved in sunflower oil",Unripened,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1238,Louché (Le),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,N/A,N/A,Fromage en faisselle,Unripened,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1239,Volage (Le),Fromages du Verger (Les),QC,Farmstead,http://www.lesfromagesduverger.com/english/index-e.html,0.00,0.00,N/A,Different flavors are available,Spreadable cheese,Unripened,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
1240,Alpin (L'),Fromagerie Pampille et Barbichette,QC,Farmstead,http://www.pampillebarbichette.com,17.00,70.00,N/A,Available plain or seasoned with fine herbs or pepper,"Fresh goat cheese ladle-molded, fine and creamy texture good for spreading",Unripened,false,Fresh Cheese,Goat,Pasteurized,No Rind,2016-02-03
1241,Boules de neige (Les),Fromagerie Pampille et Barbichette,QC,Farmstead,http://www.pampillebarbichette.com,17.00,70.00,Kept in grape seed oil,"Mild, with fine herbs",N/A,Unripened,false,Fresh Cheese,Goat,Pasteurized,No Rind,2016-02-03
1242,Petit Pâturin (Le),Chèvrerie Barrousse,QC,Farmstead,http://www.barrousse.com,19.00,56.00,Organic,"Available in 6 different flavors : plain, five peppers, spicy pepper, fresh garlic, Provençal herbs and chives",Lactic cheese,Unripened,true,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
1243,Ange Fourchu (L'),Chèvrerie Barrousse,QC,Farmstead,http://www.barrousse.com,23.00,48.00,Organic,"Light butter, hazelnut and mushroom flavour with a caprine aftertaste","White lactic soft cheese, chalky and creamy texture, natural rind (geotrichum)",2 Months,true,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
1244,Grelotins à l'huile aromatisée,Chèvrerie Barrousse,QC,Farmstead,http://www.barrousse.com,19.00,56.00,Organic,N/A,"Soft lactic cheese balls, soaked with a mix of oils and seasonings",N/A,true,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
1245,Chevalier de Lorimier,Chèvrerie Barrousse,QC,Farmstead,http://www.barrousse.com,27.00,45.00,Organic,Goat flavour,Supple texture,2 Months,true,Semi-soft Cheese,Goat,Pasteurized,Washed Rind,2016-02-03
